Time.[DayKey],Time.[Day],Time.[WeekKey],Time.[Week]
7/1/2017 12:00:00 AM,01-Jul-17,6/25/2016 12:00:00 AM,Jun WK04 2016
7/2/2017 12:00:00 AM,02-Jul-17,7/2/2017 12:00:00 AM,Jul WK01 2017
7/3/2017 12:00:00 AM,03-Jul-17,7/2/2017 12:00:00 AM,Jul WK01 2017
7/4/2017 12:00:00 AM,04-Jul-17,7/2/2017 12:00:00 AM,Jul WK01 2017
7/5/2017 12:00:00 AM,05-Jul-17,7/2/2017 12:00:00 AM,Jul WK01 2017
7/6/2017 12:00:00 AM,06-Jul-17,7/2/2017 12:00:00 AM,Jul WK01 2017
7/7/2017 12:00:00 AM,07-Jul-17,7/2/2017 12:00:00 AM,Jul WK01 2017
7/8/2017 12:00:00 AM,08-Jul-17,7/2/2017 12:00:00 AM,Jul WK01 2017
7/9/2017 12:00:00 AM,09-Jul-17,7/9/2017 12:00:00 AM,Jul WK02 2017
7/10/2017 12:00:00 AM,10-Jul-17,7/9/2017 12:00:00 AM,Jul WK02 2017
7/11/2017 12:00:00 AM,11-Jul-17,7/9/2017 12:00:00 AM,Jul WK02 2017
7/12/2017 12:00:00 AM,12-Jul-17,7/9/2017 12:00:00 AM,Jul WK02 2017
7/13/2017 12:00:00 AM,13-Jul-17,7/9/2017 12:00:00 AM,Jul WK02 2017
7/14/2017 12:00:00 AM,14-Jul-17,7/9/2017 12:00:00 AM,Jul WK02 2017
7/15/2017 12:00:00 AM,15-Jul-17,7/9/2017 12:00:00 AM,Jul WK02 2017
7/16/2017 12:00:00 AM,16-Jul-17,7/16/2017 12:00:00 AM,Jul WK03 2017
7/17/2017 12:00:00 AM,17-Jul-17,7/16/2017 12:00:00 AM,Jul WK03 2017
7/18/2017 12:00:00 AM,18-Jul-17,7/16/2017 12:00:00 AM,Jul WK03 2017
7/19/2017 12:00:00 AM,19-Jul-17,7/16/2017 12:00:00 AM,Jul WK03 2017
7/20/2017 12:00:00 AM,20-Jul-17,7/16/2017 12:00:00 AM,Jul WK03 2017
7/21/2017 12:00:00 AM,21-Jul-17,7/16/2017 12:00:00 AM,Jul WK03 2017
7/22/2017 12:00:00 AM,22-Jul-17,7/16/2017 12:00:00 AM,Jul WK03 2017
7/23/2017 12:00:00 AM,23-Jul-17,7/23/2017 12:00:00 AM,Jul WK04 2017
7/24/2017 12:00:00 AM,24-Jul-17,7/23/2017 12:00:00 AM,Jul WK04 2017
7/25/2017 12:00:00 AM,25-Jul-17,7/23/2017 12:00:00 AM,Jul WK04 2017
7/26/2017 12:00:00 AM,26-Jul-17,7/23/2017 12:00:00 AM,Jul WK04 2017
7/27/2017 12:00:00 AM,27-Jul-17,7/23/2017 12:00:00 AM,Jul WK04 2017
7/28/2017 12:00:00 AM,28-Jul-17,7/23/2017 12:00:00 AM,Jul WK04 2017
7/29/2017 12:00:00 AM,29-Jul-17,7/23/2017 12:00:00 AM,Jul WK04 2017
7/30/2017 12:00:00 AM,30-Jul-17,7/30/2017 12:00:00 AM,Aug WK01 2017
7/31/2017 12:00:00 AM,31-Jul-17,7/30/2017 12:00:00 AM,Aug WK01 2017
8/1/2017 12:00:00 AM,01-Aug-17,7/30/2017 12:00:00 AM,Aug WK01 2017
8/2/2017 12:00:00 AM,02-Aug-17,7/30/2017 12:00:00 AM,Aug WK01 2017
8/3/2017 12:00:00 AM,03-Aug-17,7/30/2017 12:00:00 AM,Aug WK01 2017
8/4/2017 12:00:00 AM,04-Aug-17,7/30/2017 12:00:00 AM,Aug WK01 2017
8/5/2017 12:00:00 AM,05-Aug-17,7/30/2017 12:00:00 AM,Aug WK01 2017
8/6/2017 12:00:00 AM,06-Aug-17,8/6/2017 12:00:00 AM,Aug WK02 2017
8/7/2017 12:00:00 AM,07-Aug-17,8/6/2017 12:00:00 AM,Aug WK02 2017
8/8/2017 12:00:00 AM,08-Aug-17,8/6/2017 12:00:00 AM,Aug WK02 2017
8/9/2017 12:00:00 AM,09-Aug-17,8/6/2017 12:00:00 AM,Aug WK02 2017
8/10/2017 12:00:00 AM,10-Aug-17,8/6/2017 12:00:00 AM,Aug WK02 2017
8/11/2017 12:00:00 AM,11-Aug-17,8/6/2017 12:00:00 AM,Aug WK02 2017
8/12/2017 12:00:00 AM,12-Aug-17,8/6/2017 12:00:00 AM,Aug WK02 2017
8/13/2017 12:00:00 AM,13-Aug-17,8/13/2017 12:00:00 AM,Aug WK03 2017
8/14/2017 12:00:00 AM,14-Aug-17,8/13/2017 12:00:00 AM,Aug WK03 2017
8/15/2017 12:00:00 AM,15-Aug-17,8/13/2017 12:00:00 AM,Aug WK03 2017
8/16/2017 12:00:00 AM,16-Aug-17,8/13/2017 12:00:00 AM,Aug WK03 2017
8/17/2017 12:00:00 AM,17-Aug-17,8/13/2017 12:00:00 AM,Aug WK03 2017
8/18/2017 12:00:00 AM,18-Aug-17,8/13/2017 12:00:00 AM,Aug WK03 2017
8/19/2017 12:00:00 AM,19-Aug-17,8/13/2017 12:00:00 AM,Aug WK03 2017
8/20/2017 12:00:00 AM,20-Aug-17,8/20/2017 12:00:00 AM,Aug WK04 2017
8/21/2017 12:00:00 AM,21-Aug-17,8/20/2017 12:00:00 AM,Aug WK04 2017
8/22/2017 12:00:00 AM,22-Aug-17,8/20/2017 12:00:00 AM,Aug WK04 2017
8/23/2017 12:00:00 AM,23-Aug-17,8/20/2017 12:00:00 AM,Aug WK04 2017
8/24/2017 12:00:00 AM,24-Aug-17,8/20/2017 12:00:00 AM,Aug WK04 2017
8/25/2017 12:00:00 AM,25-Aug-17,8/20/2017 12:00:00 AM,Aug WK04 2017
8/26/2017 12:00:00 AM,26-Aug-17,8/20/2017 12:00:00 AM,Aug WK04 2017
8/27/2017 12:00:00 AM,27-Aug-17,8/27/2017 12:00:00 AM,Aug WK05 2017
8/28/2017 12:00:00 AM,28-Aug-17,8/27/2017 12:00:00 AM,Aug WK05 2017
8/29/2017 12:00:00 AM,29-Aug-17,8/27/2017 12:00:00 AM,Aug WK05 2017
8/30/2017 12:00:00 AM,30-Aug-17,8/27/2017 12:00:00 AM,Aug WK05 2017
8/31/2017 12:00:00 AM,31-Aug-17,8/27/2017 12:00:00 AM,Aug WK05 2017
9/1/2017 12:00:00 AM,01-Sep-17,8/27/2017 12:00:00 AM,Aug WK05 2017
9/2/2017 12:00:00 AM,02-Sep-17,8/27/2017 12:00:00 AM,Aug WK05 2017
9/3/2017 12:00:00 AM,03-Sep-17,9/3/2017 12:00:00 AM,Sep WK01 2017
9/4/2017 12:00:00 AM,04-Sep-17,9/3/2017 12:00:00 AM,Sep WK01 2017
9/5/2017 12:00:00 AM,05-Sep-17,9/3/2017 12:00:00 AM,Sep WK01 2017
9/6/2017 12:00:00 AM,06-Sep-17,9/3/2017 12:00:00 AM,Sep WK01 2017
9/7/2017 12:00:00 AM,07-Sep-17,9/3/2017 12:00:00 AM,Sep WK01 2017
9/8/2017 12:00:00 AM,08-Sep-17,9/3/2017 12:00:00 AM,Sep WK01 2017
9/9/2017 12:00:00 AM,09-Sep-17,9/3/2017 12:00:00 AM,Sep WK01 2017
9/10/2017 12:00:00 AM,10-Sep-17,9/10/2017 12:00:00 AM,Sep WK02 2017
9/11/2017 12:00:00 AM,11-Sep-17,9/10/2017 12:00:00 AM,Sep WK02 2017
9/12/2017 12:00:00 AM,12-Sep-17,9/10/2017 12:00:00 AM,Sep WK02 2017
9/13/2017 12:00:00 AM,13-Sep-17,9/10/2017 12:00:00 AM,Sep WK02 2017
9/14/2017 12:00:00 AM,14-Sep-17,9/10/2017 12:00:00 AM,Sep WK02 2017
9/15/2017 12:00:00 AM,15-Sep-17,9/10/2017 12:00:00 AM,Sep WK02 2017
9/16/2017 12:00:00 AM,16-Sep-17,9/10/2017 12:00:00 AM,Sep WK02 2017
9/17/2017 12:00:00 AM,17-Sep-17,9/17/2017 12:00:00 AM,Sep WK03 2017
9/18/2017 12:00:00 AM,18-Sep-17,9/17/2017 12:00:00 AM,Sep WK03 2017
9/19/2017 12:00:00 AM,19-Sep-17,9/17/2017 12:00:00 AM,Sep WK03 2017
9/20/2017 12:00:00 AM,20-Sep-17,9/17/2017 12:00:00 AM,Sep WK03 2017
9/21/2017 12:00:00 AM,21-Sep-17,9/17/2017 12:00:00 AM,Sep WK03 2017
9/22/2017 12:00:00 AM,22-Sep-17,9/17/2017 12:00:00 AM,Sep WK03 2017
9/23/2017 12:00:00 AM,23-Sep-17,9/17/2017 12:00:00 AM,Sep WK03 2017
9/24/2017 12:00:00 AM,24-Sep-17,9/24/2017 12:00:00 AM,Sep WK04 2017
9/25/2017 12:00:00 AM,25-Sep-17,9/24/2017 12:00:00 AM,Sep WK04 2017
9/26/2017 12:00:00 AM,26-Sep-17,9/24/2017 12:00:00 AM,Sep WK04 2017
9/27/2017 12:00:00 AM,27-Sep-17,9/24/2017 12:00:00 AM,Sep WK04 2017
9/28/2017 12:00:00 AM,28-Sep-17,9/24/2017 12:00:00 AM,Sep WK04 2017
9/29/2017 12:00:00 AM,29-Sep-17,9/24/2017 12:00:00 AM,Sep WK04 2017
9/30/2017 12:00:00 AM,30-Sep-17,9/24/2017 12:00:00 AM,Sep WK04 2017
10/1/2017 12:00:00 AM,01-Oct-17,10/1/2017 12:00:00 AM,Oct WK01 2017
10/2/2017 12:00:00 AM,02-Oct-17,10/1/2017 12:00:00 AM,Oct WK01 2017
10/3/2017 12:00:00 AM,03-Oct-17,10/1/2017 12:00:00 AM,Oct WK01 2017
10/4/2017 12:00:00 AM,04-Oct-17,10/1/2017 12:00:00 AM,Oct WK01 2017
10/5/2017 12:00:00 AM,05-Oct-17,10/1/2017 12:00:00 AM,Oct WK01 2017
10/6/2017 12:00:00 AM,06-Oct-17,10/1/2017 12:00:00 AM,Oct WK01 2017
10/7/2017 12:00:00 AM,07-Oct-17,10/1/2017 12:00:00 AM,Oct WK01 2017
10/8/2017 12:00:00 AM,08-Oct-17,10/8/2017 12:00:00 AM,Oct WK02 2017
10/9/2017 12:00:00 AM,09-Oct-17,10/8/2017 12:00:00 AM,Oct WK02 2017
10/10/2017 12:00:00 AM,10-Oct-17,10/8/2017 12:00:00 AM,Oct WK02 2017
10/11/2017 12:00:00 AM,11-Oct-17,10/8/2017 12:00:00 AM,Oct WK02 2017
10/12/2017 12:00:00 AM,12-Oct-17,10/8/2017 12:00:00 AM,Oct WK02 2017
10/13/2017 12:00:00 AM,13-Oct-17,10/8/2017 12:00:00 AM,Oct WK02 2017
10/14/2017 12:00:00 AM,14-Oct-17,10/8/2017 12:00:00 AM,Oct WK02 2017
10/15/2017 12:00:00 AM,15-Oct-17,10/15/2017 12:00:00 AM,Oct WK03 2017
10/16/2017 12:00:00 AM,16-Oct-17,10/15/2017 12:00:00 AM,Oct WK03 2017
10/17/2017 12:00:00 AM,17-Oct-17,10/15/2017 12:00:00 AM,Oct WK03 2017
10/18/2017 12:00:00 AM,18-Oct-17,10/15/2017 12:00:00 AM,Oct WK03 2017
10/19/2017 12:00:00 AM,19-Oct-17,10/15/2017 12:00:00 AM,Oct WK03 2017
10/20/2017 12:00:00 AM,20-Oct-17,10/15/2017 12:00:00 AM,Oct WK03 2017
10/21/2017 12:00:00 AM,21-Oct-17,10/15/2017 12:00:00 AM,Oct WK03 2017
10/22/2017 12:00:00 AM,22-Oct-17,10/22/2017 12:00:00 AM,Oct WK04 2017
10/23/2017 12:00:00 AM,23-Oct-17,10/22/2017 12:00:00 AM,Oct WK04 2017
10/24/2017 12:00:00 AM,24-Oct-17,10/22/2017 12:00:00 AM,Oct WK04 2017
10/25/2017 12:00:00 AM,25-Oct-17,10/22/2017 12:00:00 AM,Oct WK04 2017
10/26/2017 12:00:00 AM,26-Oct-17,10/22/2017 12:00:00 AM,Oct WK04 2017
10/27/2017 12:00:00 AM,27-Oct-17,10/22/2017 12:00:00 AM,Oct WK04 2017
10/28/2017 12:00:00 AM,28-Oct-17,10/22/2017 12:00:00 AM,Oct WK04 2017
10/29/2017 12:00:00 AM,29-Oct-17,10/29/2017 12:00:00 AM,Nov WK01 2017
10/30/2017 12:00:00 AM,30-Oct-17,10/29/2017 12:00:00 AM,Nov WK01 2017
10/31/2017 12:00:00 AM,31-Oct-17,10/29/2017 12:00:00 AM,Nov WK01 2017
11/1/2017 12:00:00 AM,01-Nov-17,10/29/2017 12:00:00 AM,Nov WK01 2017
11/2/2017 12:00:00 AM,02-Nov-17,10/29/2017 12:00:00 AM,Nov WK01 2017
11/3/2017 12:00:00 AM,03-Nov-17,10/29/2017 12:00:00 AM,Nov WK01 2017
11/4/2017 12:00:00 AM,04-Nov-17,10/29/2017 12:00:00 AM,Nov WK01 2017
11/5/2017 12:00:00 AM,05-Nov-17,11/5/2017 12:00:00 AM,Nov WK02 2017
11/6/2017 12:00:00 AM,06-Nov-17,11/5/2017 12:00:00 AM,Nov WK02 2017
11/7/2017 12:00:00 AM,07-Nov-17,11/5/2017 12:00:00 AM,Nov WK02 2017
11/8/2017 12:00:00 AM,08-Nov-17,11/5/2017 12:00:00 AM,Nov WK02 2017
11/9/2017 12:00:00 AM,09-Nov-17,11/5/2017 12:00:00 AM,Nov WK02 2017
11/10/2017 12:00:00 AM,10-Nov-17,11/5/2017 12:00:00 AM,Nov WK02 2017
11/11/2017 12:00:00 AM,11-Nov-17,11/5/2017 12:00:00 AM,Nov WK02 2017
11/12/2017 12:00:00 AM,12-Nov-17,11/12/2017 12:00:00 AM,Nov WK03 2017
11/13/2017 12:00:00 AM,13-Nov-17,11/12/2017 12:00:00 AM,Nov WK03 2017
11/14/2017 12:00:00 AM,14-Nov-17,11/12/2017 12:00:00 AM,Nov WK03 2017
11/15/2017 12:00:00 AM,15-Nov-17,11/12/2017 12:00:00 AM,Nov WK03 2017
11/16/2017 12:00:00 AM,16-Nov-17,11/12/2017 12:00:00 AM,Nov WK03 2017
11/17/2017 12:00:00 AM,17-Nov-17,11/12/2017 12:00:00 AM,Nov WK03 2017
11/18/2017 12:00:00 AM,18-Nov-17,11/12/2017 12:00:00 AM,Nov WK03 2017
11/19/2017 12:00:00 AM,19-Nov-17,11/19/2017 12:00:00 AM,Nov WK04 2017
11/20/2017 12:00:00 AM,20-Nov-17,11/19/2017 12:00:00 AM,Nov WK04 2017
11/21/2017 12:00:00 AM,21-Nov-17,11/19/2017 12:00:00 AM,Nov WK04 2017
11/22/2017 12:00:00 AM,22-Nov-17,11/19/2017 12:00:00 AM,Nov WK04 2017
11/23/2017 12:00:00 AM,23-Nov-17,11/19/2017 12:00:00 AM,Nov WK04 2017
11/24/2017 12:00:00 AM,24-Nov-17,11/19/2017 12:00:00 AM,Nov WK04 2017
11/25/2017 12:00:00 AM,25-Nov-17,11/19/2017 12:00:00 AM,Nov WK04 2017
11/26/2017 12:00:00 AM,26-Nov-17,11/26/2017 12:00:00 AM,Nov WK05 2017
11/27/2017 12:00:00 AM,27-Nov-17,11/26/2017 12:00:00 AM,Nov WK05 2017
11/28/2017 12:00:00 AM,28-Nov-17,11/26/2017 12:00:00 AM,Nov WK05 2017
11/29/2017 12:00:00 AM,29-Nov-17,11/26/2017 12:00:00 AM,Nov WK05 2017
11/30/2017 12:00:00 AM,30-Nov-17,11/26/2017 12:00:00 AM,Nov WK05 2017
12/1/2017 12:00:00 AM,01-Dec-17,11/26/2017 12:00:00 AM,Nov WK05 2017
12/2/2017 12:00:00 AM,02-Dec-17,11/26/2017 12:00:00 AM,Nov WK05 2017
12/3/2017 12:00:00 AM,03-Dec-17,12/3/2017 12:00:00 AM,Dec WK01 2017
12/4/2017 12:00:00 AM,04-Dec-17,12/3/2017 12:00:00 AM,Dec WK01 2017
12/5/2017 12:00:00 AM,05-Dec-17,12/3/2017 12:00:00 AM,Dec WK01 2017
12/6/2017 12:00:00 AM,06-Dec-17,12/3/2017 12:00:00 AM,Dec WK01 2017
12/7/2017 12:00:00 AM,07-Dec-17,12/3/2017 12:00:00 AM,Dec WK01 2017
12/8/2017 12:00:00 AM,08-Dec-17,12/3/2017 12:00:00 AM,Dec WK01 2017
12/9/2017 12:00:00 AM,09-Dec-17,12/3/2017 12:00:00 AM,Dec WK01 2017
12/10/2017 12:00:00 AM,10-Dec-17,12/10/2017 12:00:00 AM,Dec WK02 2017
12/11/2017 12:00:00 AM,11-Dec-17,12/10/2017 12:00:00 AM,Dec WK02 2017
12/12/2017 12:00:00 AM,12-Dec-17,12/10/2017 12:00:00 AM,Dec WK02 2017
12/13/2017 12:00:00 AM,13-Dec-17,12/10/2017 12:00:00 AM,Dec WK02 2017
12/14/2017 12:00:00 AM,14-Dec-17,12/10/2017 12:00:00 AM,Dec WK02 2017
12/15/2017 12:00:00 AM,15-Dec-17,12/10/2017 12:00:00 AM,Dec WK02 2017
12/16/2017 12:00:00 AM,16-Dec-17,12/10/2017 12:00:00 AM,Dec WK02 2017
12/17/2017 12:00:00 AM,17-Dec-17,12/17/2017 12:00:00 AM,Dec WK03 2017
12/18/2017 12:00:00 AM,18-Dec-17,12/17/2017 12:00:00 AM,Dec WK03 2017
12/19/2017 12:00:00 AM,19-Dec-17,12/17/2017 12:00:00 AM,Dec WK03 2017
12/20/2017 12:00:00 AM,20-Dec-17,12/17/2017 12:00:00 AM,Dec WK03 2017
12/21/2017 12:00:00 AM,21-Dec-17,12/17/2017 12:00:00 AM,Dec WK03 2017
12/22/2017 12:00:00 AM,22-Dec-17,12/17/2017 12:00:00 AM,Dec WK03 2017
12/23/2017 12:00:00 AM,23-Dec-17,12/17/2017 12:00:00 AM,Dec WK03 2017
12/24/2017 12:00:00 AM,24-Dec-17,12/24/2017 12:00:00 AM,Dec WK04 2017
12/25/2017 12:00:00 AM,25-Dec-17,12/24/2017 12:00:00 AM,Dec WK04 2017
12/26/2017 12:00:00 AM,26-Dec-17,12/24/2017 12:00:00 AM,Dec WK04 2017
12/27/2017 12:00:00 AM,27-Dec-17,12/24/2017 12:00:00 AM,Dec WK04 2017
12/28/2017 12:00:00 AM,28-Dec-17,12/24/2017 12:00:00 AM,Dec WK04 2017
12/29/2017 12:00:00 AM,29-Dec-17,12/24/2017 12:00:00 AM,Dec WK04 2017
12/30/2017 12:00:00 AM,30-Dec-17,12/24/2017 12:00:00 AM,Dec WK04 2017
12/31/2017 12:00:00 AM,31-Dec-17,12/31/2017 12:00:00 AM,Jan WK01 2018
1/1/2018 12:00:00 AM,01-Jan-18,12/31/2017 12:00:00 AM,Jan WK01 2018
1/2/2018 12:00:00 AM,02-Jan-18,12/31/2017 12:00:00 AM,Jan WK01 2018
1/3/2018 12:00:00 AM,03-Jan-18,12/31/2017 12:00:00 AM,Jan WK01 2018
1/4/2018 12:00:00 AM,04-Jan-18,12/31/2017 12:00:00 AM,Jan WK01 2018
1/5/2018 12:00:00 AM,05-Jan-18,12/31/2017 12:00:00 AM,Jan WK01 2018
1/6/2018 12:00:00 AM,06-Jan-18,12/31/2017 12:00:00 AM,Jan WK01 2018
1/7/2018 12:00:00 AM,07-Jan-18,1/7/2018 12:00:00 AM,Jan WK02 2018
1/8/2018 12:00:00 AM,08-Jan-18,1/7/2018 12:00:00 AM,Jan WK02 2018
1/9/2018 12:00:00 AM,09-Jan-18,1/7/2018 12:00:00 AM,Jan WK02 2018
1/10/2018 12:00:00 AM,10-Jan-18,1/7/2018 12:00:00 AM,Jan WK02 2018
1/11/2018 12:00:00 AM,11-Jan-18,1/7/2018 12:00:00 AM,Jan WK02 2018
1/12/2018 12:00:00 AM,12-Jan-18,1/7/2018 12:00:00 AM,Jan WK02 2018
1/13/2018 12:00:00 AM,13-Jan-18,1/7/2018 12:00:00 AM,Jan WK02 2018
1/14/2018 12:00:00 AM,14-Jan-18,1/14/2018 12:00:00 AM,Jan WK03 2018
1/15/2018 12:00:00 AM,15-Jan-18,1/14/2018 12:00:00 AM,Jan WK03 2018
1/16/2018 12:00:00 AM,16-Jan-18,1/14/2018 12:00:00 AM,Jan WK03 2018
1/17/2018 12:00:00 AM,17-Jan-18,1/14/2018 12:00:00 AM,Jan WK03 2018
1/18/2018 12:00:00 AM,18-Jan-18,1/14/2018 12:00:00 AM,Jan WK03 2018
1/19/2018 12:00:00 AM,19-Jan-18,1/14/2018 12:00:00 AM,Jan WK03 2018
1/20/2018 12:00:00 AM,20-Jan-18,1/14/2018 12:00:00 AM,Jan WK03 2018
1/21/2018 12:00:00 AM,21-Jan-18,1/21/2018 12:00:00 AM,Jan WK04 2018
1/22/2018 12:00:00 AM,22-Jan-18,1/21/2018 12:00:00 AM,Jan WK04 2018
1/23/2018 12:00:00 AM,23-Jan-18,1/21/2018 12:00:00 AM,Jan WK04 2018
1/24/2018 12:00:00 AM,24-Jan-18,1/21/2018 12:00:00 AM,Jan WK04 2018
1/25/2018 12:00:00 AM,25-Jan-18,1/21/2018 12:00:00 AM,Jan WK04 2018
1/26/2018 12:00:00 AM,26-Jan-18,1/21/2018 12:00:00 AM,Jan WK04 2018
1/27/2018 12:00:00 AM,27-Jan-18,1/21/2018 12:00:00 AM,Jan WK04 2018
1/28/2018 12:00:00 AM,28-Jan-18,1/28/2018 12:00:00 AM,Feb WK01 2018
1/29/2018 12:00:00 AM,29-Jan-18,1/28/2018 12:00:00 AM,Feb WK01 2018
1/30/2018 12:00:00 AM,30-Jan-18,1/28/2018 12:00:00 AM,Feb WK01 2018
1/31/2018 12:00:00 AM,31-Jan-18,1/28/2018 12:00:00 AM,Feb WK01 2018
2/1/2018 12:00:00 AM,01-Feb-18,1/28/2018 12:00:00 AM,Feb WK01 2018
2/2/2018 12:00:00 AM,02-Feb-18,1/28/2018 12:00:00 AM,Feb WK01 2018
2/3/2018 12:00:00 AM,03-Feb-18,1/28/2018 12:00:00 AM,Feb WK01 2018
2/4/2018 12:00:00 AM,04-Feb-18,2/4/2018 12:00:00 AM,Feb WK02 2018
2/5/2018 12:00:00 AM,05-Feb-18,2/4/2018 12:00:00 AM,Feb WK02 2018
2/6/2018 12:00:00 AM,06-Feb-18,2/4/2018 12:00:00 AM,Feb WK02 2018
2/7/2018 12:00:00 AM,07-Feb-18,2/4/2018 12:00:00 AM,Feb WK02 2018
2/8/2018 12:00:00 AM,08-Feb-18,2/4/2018 12:00:00 AM,Feb WK02 2018
2/9/2018 12:00:00 AM,09-Feb-18,2/4/2018 12:00:00 AM,Feb WK02 2018
2/10/2018 12:00:00 AM,10-Feb-18,2/4/2018 12:00:00 AM,Feb WK02 2018
2/11/2018 12:00:00 AM,11-Feb-18,2/11/2018 12:00:00 AM,Feb WK03 2018
2/12/2018 12:00:00 AM,12-Feb-18,2/11/2018 12:00:00 AM,Feb WK03 2018
2/13/2018 12:00:00 AM,13-Feb-18,2/11/2018 12:00:00 AM,Feb WK03 2018
2/14/2018 12:00:00 AM,14-Feb-18,2/11/2018 12:00:00 AM,Feb WK03 2018
2/15/2018 12:00:00 AM,15-Feb-18,2/11/2018 12:00:00 AM,Feb WK03 2018
2/16/2018 12:00:00 AM,16-Feb-18,2/11/2018 12:00:00 AM,Feb WK03 2018
2/17/2018 12:00:00 AM,17-Feb-18,2/11/2018 12:00:00 AM,Feb WK03 2018
2/18/2018 12:00:00 AM,18-Feb-18,2/18/2018 12:00:00 AM,Feb WK04 2018
2/19/2018 12:00:00 AM,19-Feb-18,2/18/2018 12:00:00 AM,Feb WK04 2018
2/20/2018 12:00:00 AM,20-Feb-18,2/18/2018 12:00:00 AM,Feb WK04 2018
2/21/2018 12:00:00 AM,21-Feb-18,2/18/2018 12:00:00 AM,Feb WK04 2018
2/22/2018 12:00:00 AM,22-Feb-18,2/18/2018 12:00:00 AM,Feb WK04 2018
2/23/2018 12:00:00 AM,23-Feb-18,2/18/2018 12:00:00 AM,Feb WK04 2018
2/24/2018 12:00:00 AM,24-Feb-18,2/18/2018 12:00:00 AM,Feb WK04 2018
2/25/2018 12:00:00 AM,25-Feb-18,2/25/2018 12:00:00 AM,Feb WK05 2018
2/26/2018 12:00:00 AM,26-Feb-18,2/25/2018 12:00:00 AM,Feb WK05 2018
2/27/2018 12:00:00 AM,27-Feb-18,2/25/2018 12:00:00 AM,Feb WK05 2018
2/28/2018 12:00:00 AM,28-Feb-18,2/25/2018 12:00:00 AM,Feb WK05 2018
3/1/2018 12:00:00 AM,01-Mar-18,2/25/2018 12:00:00 AM,Feb WK05 2018
3/2/2018 12:00:00 AM,02-Mar-18,2/25/2018 12:00:00 AM,Feb WK05 2018
3/3/2018 12:00:00 AM,03-Mar-18,2/25/2018 12:00:00 AM,Feb WK05 2018
3/4/2018 12:00:00 AM,04-Mar-18,3/4/2018 12:00:00 AM,Mar WK01 2018
3/5/2018 12:00:00 AM,05-Mar-18,3/4/2018 12:00:00 AM,Mar WK01 2018
3/6/2018 12:00:00 AM,06-Mar-18,3/4/2018 12:00:00 AM,Mar WK01 2018
3/7/2018 12:00:00 AM,07-Mar-18,3/4/2018 12:00:00 AM,Mar WK01 2018
3/8/2018 12:00:00 AM,08-Mar-18,3/4/2018 12:00:00 AM,Mar WK01 2018
3/9/2018 12:00:00 AM,09-Mar-18,3/4/2018 12:00:00 AM,Mar WK01 2018
3/10/2018 12:00:00 AM,10-Mar-18,3/4/2018 12:00:00 AM,Mar WK01 2018
3/11/2018 12:00:00 AM,11-Mar-18,3/11/2018 12:00:00 AM,Mar WK02 2018
3/12/2018 12:00:00 AM,12-Mar-18,3/11/2018 12:00:00 AM,Mar WK02 2018
3/13/2018 12:00:00 AM,13-Mar-18,3/11/2018 12:00:00 AM,Mar WK02 2018
3/14/2018 12:00:00 AM,14-Mar-18,3/11/2018 12:00:00 AM,Mar WK02 2018
3/15/2018 12:00:00 AM,15-Mar-18,3/11/2018 12:00:00 AM,Mar WK02 2018
3/16/2018 12:00:00 AM,16-Mar-18,3/11/2018 12:00:00 AM,Mar WK02 2018
3/17/2018 12:00:00 AM,17-Mar-18,3/11/2018 12:00:00 AM,Mar WK02 2018
3/18/2018 12:00:00 AM,18-Mar-18,3/18/2018 12:00:00 AM,Mar WK03 2018
3/19/2018 12:00:00 AM,19-Mar-18,3/18/2018 12:00:00 AM,Mar WK03 2018
3/20/2018 12:00:00 AM,20-Mar-18,3/18/2018 12:00:00 AM,Mar WK03 2018
3/21/2018 12:00:00 AM,21-Mar-18,3/18/2018 12:00:00 AM,Mar WK03 2018
3/22/2018 12:00:00 AM,22-Mar-18,3/18/2018 12:00:00 AM,Mar WK03 2018
3/23/2018 12:00:00 AM,23-Mar-18,3/18/2018 12:00:00 AM,Mar WK03 2018
3/24/2018 12:00:00 AM,24-Mar-18,3/18/2018 12:00:00 AM,Mar WK03 2018
3/25/2018 12:00:00 AM,25-Mar-18,3/25/2018 12:00:00 AM,Mar WK04 2018
3/26/2018 12:00:00 AM,26-Mar-18,3/25/2018 12:00:00 AM,Mar WK04 2018
3/27/2018 12:00:00 AM,27-Mar-18,3/25/2018 12:00:00 AM,Mar WK04 2018
3/28/2018 12:00:00 AM,28-Mar-18,3/25/2018 12:00:00 AM,Mar WK04 2018
3/29/2018 12:00:00 AM,29-Mar-18,3/25/2018 12:00:00 AM,Mar WK04 2018
3/30/2018 12:00:00 AM,30-Mar-18,3/25/2018 12:00:00 AM,Mar WK04 2018
3/31/2018 12:00:00 AM,31-Mar-18,3/25/2018 12:00:00 AM,Mar WK04 2018
4/1/2018 12:00:00 AM,01-Apr-18,4/1/2018 12:00:00 AM,Apr WK01 2018
4/2/2018 12:00:00 AM,02-Apr-18,4/1/2018 12:00:00 AM,Apr WK01 2018
4/3/2018 12:00:00 AM,03-Apr-18,4/1/2018 12:00:00 AM,Apr WK01 2018
4/4/2018 12:00:00 AM,04-Apr-18,4/1/2018 12:00:00 AM,Apr WK01 2018
4/5/2018 12:00:00 AM,05-Apr-18,4/1/2018 12:00:00 AM,Apr WK01 2018
